,K,Polynomial_Degree,R_Squared,Type
0,1,1,0.5561365000832191,Dot
1,1,2,0.57415436661432,Dot
2,1,3,0.6268648475038532,Dot
3,2,1,0.7033616759510855,Dot
4,2,2,0.7170228062442396,Dot
5,2,3,0.7515017153411623,Dot
6,3,1,0.7766250682743535,Dot
7,3,2,0.7879126886765971,Dot
8,3,3,0.8117154940519262,Dot
9,4,1,0.8230141465210723,Dot
10,4,2,0.8305670502763556,Dot
11,4,3,0.8518640639799888,Dot
12,5,1,0.8514427118352469,Dot
13,5,2,0.8579952344320401,Dot
14,5,3,0.8755115491628134,Dot
15,6,1,0.8729460674554136,Dot
16,6,2,0.8774071997747679,Dot
17,6,3,0.8930708165726177,Dot
18,7,1,0.8887287829702026,Dot
19,7,2,0.8935598423241764,Dot
20,7,3,0.9070996881212211,Dot
21,8,1,0.9020456074440696,Dot
22,8,2,0.9053210441950817,Dot
23,8,3,0.9174383816529642,Dot
24,9,1,0.9107366537370324,Dot
25,9,2,0.9150286996386034,Dot
26,9,3,0.9252624746880038,Dot
0,1,1,0.6555509098704132,Kauffman
1,1,2,1.0,Kauffman
2,1,3,1.0,Kauffman
3,2,1,0.41571126671537656,Kauffman
4,2,2,0.8476909177515459,Kauffman
5,2,3,1.0,Kauffman
6,3,1,0.25312217850269886,Kauffman
7,3,2,0.6656791170056359,Kauffman
8,3,3,0.9322327943937627,Kauffman
9,4,1,0.157177390568343,Kauffman
10,4,2,0.47972959734199533,Kauffman
11,4,3,0.7996462110749043,Kauffman
12,5,1,0.0986911933790919,Kauffman
13,5,2,0.3310029855944204,Kauffman
14,5,3,0.6622346774541115,Kauffman
15,6,1,0.05084568195627406,Kauffman
16,6,2,0.21602576350736424,Kauffman
17,6,3,0.4957153690512262,Kauffman
18,7,1,0.030335710156861716,Kauffman
19,7,2,0.13851263501563318,Kauffman
20,7,3,0.3615002317652922,Kauffman
21,8,1,0.016442639499009856,Kauffman
22,8,2,0.08620824910302172,Kauffman
23,8,3,0.2478873655388467,Kauffman
24,9,1,0.01083214350424062,Kauffman
25,9,2,0.051085082839591615,Kauffman
26,9,3,0.17295204887624155,Kauffman
